Ten-Year Age Groups	Ten-Year Age Groups Code	Multiple Cause of death	Multiple Cause of death Code	Year	Year Code	Deaths	Population	Crude Rate
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2001	2001	0	4012658	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2002	2002	0	3951461	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2003	2003	0	3975871	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2004	2004	0	4014258	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2005	2005	0	4004393	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2006	2006	0	4041738	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2007	2007	0	4147997	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2008	2008	0	4132735	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2009	2009	0	4003587	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2010	2010	0	3944153	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2011	2011	0	3996537	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2012	2012	0	3943077	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2013	2013	0	3941783	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2014	2014	0	3948350	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2015	2015	0	3978038	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2016	2016	0	3970145	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2017	2017	0	3939295	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2018	2018	0	3848208	Unreliable
< 1 year	1	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2019	2019	0	3783052	Unreliable
1-4 years	4-Jan	Opium	T40.0	1999	1999	0	15339782	Unreliable
1-4 years	4-Jan	Opium	T40.0	2000	2000	0	15370150	Unreliable
1-4 years	4-Jan	Opium	T40.0	2001	2001	0	15285559	Unreliable
1-4 years	4-Jan	Opium	T40.0	2002	2002	0	15477731	Unreliable
1-4 years	4-Jan	Opium	T40.0	2003	2003	0	15616575	Unreliable
1-4 years	4-Jan	Opium	T40.0	2004	2004	0	15771627	Unreliable
1-4 years	4-Jan	Opium	T40.0	2005	2005	0	15913007	Unreliable
1-4 years	4-Jan	Opium	T40.0	2006	2006	0	15897145	Unreliable
1-4 years	4-Jan	Opium	T40.0	2007	2007	0	15977965	Unreliable
1-4 years	4-Jan	Opium	T40.0	2008	2008	0	16138392	Unreliable
1-4 years	4-Jan	Opium	T40.0	2009	2009	0	16240931	Unreliable
1-4 years	4-Jan	Opium	T40.0	2010	2010	0	16257209	Unreliable
1-4 years	4-Jan	Opium	T40.0	2011	2011	0	16165521	Unreliable
1-4 years	4-Jan	Opium	T40.0	2012	2012	0	16056267	Unreliable
1-4 years	4-Jan	Opium	T40.0	2013	2013	0	15926305	Unreliable
1-4 years	4-Jan	Opium	T40.0	2014	2014	0	15928533	Unreliable
1-4 years	4-Jan	Opium	T40.0	2015	2015	0	15929243	Unreliable
1-4 years	4-Jan	Opium	T40.0	2016	2016	0	15956892	Unreliable
1-4 years	4-Jan	Opium	T40.0	2017	2017	0	15999565	Unreliable
1-4 years	4-Jan	Opium	T40.0	2018	2018	0	15962067	Unreliable
1-4 years	4-Jan	Opium	T40.0	2019	2019	0	15793631	Unreliable
1-4 years	4-Jan	Heroin	T40.1	1999	1999	0	15339782	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2000	2000	0	15370150	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2001	2001	0	15285559	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2002	2002	0	15477731	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2003	2003	0	15616575	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2004	2004	0	15771627	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2005	2005	0	15913007	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2006	2006	1	15897145	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2007	2007	1	15977965	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2008	2008	0	16138392	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2009	2009	0	16240931	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2010	2010	0	16257209	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2011	2011	0	16165521	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2012	2012	0	16056267	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2013	2013	0	15926305	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2014	2014	0	15928533	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2015	2015	4	15929243	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2016	2016	1	15956892	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2017	2017	1	15999565	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2018	2018	2	15962067	Unreliable
1-4 years	4-Jan	Heroin	T40.1	2019	2019	3	15793631	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	1999	1999	3	15339782	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	2000	2000	3	15370150	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	2001	2001	9	15285559	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	2002	2002	8	15477731	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	2003	2003	13	15616575	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	2004	2004	11	15771627	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	2005	2005	15	15913007	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	2006	2006	14	15897145	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	2007	2007	16	15977965	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	2008	2008	25	16138392	0.2
1-4 years	4-Jan	Other opioids	T40.2	2009	2009	18	16240931	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	2010	2010	14	16257209	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	2011	2011	20	16165521	0.1
1-4 years	4-Jan	Other opioids	T40.2	2012	2012	13	16056267	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	2013	2013	17	15926305	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	2014	2014	21	15928533	0.1
1-4 years	4-Jan	Other opioids	T40.2	2015	2015	25	15929243	0.2
1-4 years	4-Jan	Other opioids	T40.2	2016	2016	22	15956892	0.1
1-4 years	4-Jan	Other opioids	T40.2	2017	2017	11	15999565	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	2018	2018	7	15962067	Unreliable
1-4 years	4-Jan	Other opioids	T40.2	2019	2019	7	15793631	Unreliable
1-4 years	4-Jan	Methadone	T40.3	1999	1999	3	15339782	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2000	2000	4	15370150	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2001	2001	3	15285559	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2002	2002	5	15477731	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2003	2003	5	15616575	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2004	2004	7	15771627	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2005	2005	4	15913007	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2006	2006	6	15897145	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2007	2007	12	15977965	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2008	2008	9	16138392	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2009	2009	7	16240931	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2010	2010	9	16257209	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2011	2011	5	16165521	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2012	2012	8	16056267	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2013	2013	9	15926305	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2014	2014	8	15928533	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2015	2015	8	15929243	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2016	2016	9	15956892	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2017	2017	5	15999565	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2018	2018	8	15962067	Unreliable
1-4 years	4-Jan	Methadone	T40.3	2019	2019	6	15793631	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	1999	1999	0	15339782	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2000	2000	2	15370150	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2001	2001	0	15285559	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2002	2002	1	15477731	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2003	2003	0	15616575	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2004	2004	0	15771627	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2005	2005	5	15913007	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2006	2006	4	15897145	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2007	2007	3	15977965	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2008	2008	3	16138392	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2009	2009	2	16240931	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2010	2010	3	16257209	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2011	2011	7	16165521	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2012	2012	3	16056267	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2013	2013	3	15926305	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2014	2014	6	15928533	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2015	2015	7	15929243	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2016	2016	5	15956892	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2017	2017	13	15999565	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2018	2018	14	15962067	Unreliable
1-4 years	4-Jan	Other synthetic narcotics	T40.4	2019	2019	30	15793631	0.2
1-4 years	4-Jan	Cocaine	T40.5	1999	1999	0	15339782	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2000	2000	1	15370150	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2001	2001	0	15285559	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2002	2002	2	15477731	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2003	2003	1	15616575	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2004	2004	0	15771627	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2005	2005	2	15913007	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2006	2006	2	15897145	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2007	2007	2	15977965	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2008	2008	2	16138392	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2009	2009	0	16240931	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2010	2010	0	16257209	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2011	2011	0	16165521	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2012	2012	1	16056267	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2013	2013	0	15926305	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2014	2014	2	15928533	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2015	2015	1	15929243	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2016	2016	0	15956892	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2017	2017	0	15999565	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2018	2018	6	15962067	Unreliable
1-4 years	4-Jan	Cocaine	T40.5	2019	2019	3	15793631	Unreliable
1-4 years	4-Jan	Other and unspecified narcotics	T40.6	1999	1999	1	15339782	Unreliable
1-4 years	4-Jan	Other and unspecified narcotics	T40.6	2000	2000	1	15370150	Unreliable
1-4 years	4-Jan	Other and unspecified narcotics	T40.6	2001	2001	2	15285559	Unreliable
